epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2932,2.64112,5.81967,1.41407,0.00161,0.47541,0.00223,0.00092,2.31886,6.0464,1.30386,0.00052,0.00052,0.00052
2,166.961,2.35663,3.96076,1.26973,0.0015,0.44262,0.00176,0.00065,2.46269,15.6495,1.35247,0.00103901,0.00103901,0.00103901
3,263.431,2.3342,3.66591,1.30022,0.00222,0.65574,0.0362,0.01149,2.31606,5.22442,1.33088,0.00153664,0.00153664,0.00153664
4,379.287,2.31493,3.31873,1.33587,0.44445,0.22951,0.27858,0.10191,2.2071,3.57369,1.36413,0.0018812,0.0018812,0.0018812
5,494.022,2.24978,3.20822,1.29738,0.33129,0.52459,0.28146,0.09141,2.35187,3.08066,1.37342,0.0018416,0.0018416,0.0018416
6,611.817,2.22701,2.8113,1.28515,0.3877,0.60656,0.45413,0.16616,2.265,2.79917,1.33563,0.001802,0.001802,0.001802
7,730.636,2.12954,2.50235,1.26572,0.59764,0.54098,0.52641,0.1748,2.24647,2.47789,1.30361,0.0017624,0.0017624,0.0017624
8,852.952,2.14443,2.56276,1.25493,0.59507,0.55738,0.49592,0.21173,2.17986,2.51989,1.35033,0.0017228,0.0017228,0.0017228
9,987.653,2.20423,2.29679,1.28111,0.62333,0.39344,0.40145,0.16769,2.45958,2.7848,1.416,0.0016832,0.0016832,0.0016832
10,1117.2,2.08149,2.20359,1.28432,0.40954,0.47541,0.31288,0.08873,2.91503,2.78727,1.58274,0.0016436,0.0016436,0.0016436
11,1246.75,2.096,2.05626,1.2505,0.68005,0.57377,0.57802,0.1899,2.23143,2.57185,1.31598,0.001604,0.001604,0.001604
12,1372.79,2.01281,2.06103,1.20122,0.68585,0.63934,0.65577,0.2832,2.08539,1.8669,1.28766,0.0015644,0.0015644,0.0015644
13,1498.42,2.0038,1.80775,1.20171,0.65493,0.65574,0.55519,0.23668,2.09045,1.94839,1.27877,0.0015248,0.0015248,0.0015248
14,1625.02,2.02644,1.78523,1.19647,0.84437,0.8005,0.79622,0.31602,2.15518,1.83793,1.25493,0.0014852,0.0014852,0.0014852
15,1720.22,1.97297,1.68586,1.25098,0.69829,0.55738,0.68707,0.2484,2.04997,1.77021,1.26446,0.0014456,0.0014456,0.0014456
16,1821.8,1.97819,1.72655,1.2366,0.42747,0.7377,0.45583,0.14402,2.22988,2.04559,1.32057,0.001406,0.001406,0.001406
17,1928.25,2.0374,1.65053,1.21567,0.75712,0.7377,0.73431,0.29393,2.04171,1.64517,1.23093,0.0013664,0.0013664,0.0013664
18,2030.93,1.84659,1.64233,1.19872,0.67739,0.7377,0.69425,0.29735,1.97419,1.63322,1.24906,0.0013268,0.0013268,0.0013268
19,2130.49,1.9689,1.57732,1.21522,0.8326,0.77049,0.79912,0.33186,1.98089,1.48453,1.24327,0.0012872,0.0012872,0.0012872
20,2231.28,1.86974,1.47193,1.16686,0.77159,0.63934,0.65231,0.2969,2.14861,1.57618,1.3243,0.0012476,0.0012476,0.0012476
21,2333.33,1.82914,1.37002,1.1313,0.82471,0.78689,0.81267,0.33914,1.94587,1.40189,1.24047,0.001208,0.001208,0.001208
22,2434.9,1.78997,1.37453,1.11406,0.83034,0.7541,0.80864,0.3386,1.93761,1.33489,1.22825,0.0011684,0.0011684,0.0011684
23,2539.04,1.86568,1.39872,1.15018,0.93609,0.72042,0.83382,0.35578,2.03632,1.39077,1.26054,0.0011288,0.0011288,0.0011288
24,2641.08,1.79501,1.29524,1.13409,0.86027,0.7541,0.79695,0.33057,1.96098,1.42634,1.22822,0.0010892,0.0010892,0.0010892
25,2728.52,1.79506,1.33184,1.10856,0.82355,0.65574,0.77921,0.33418,1.93154,1.38613,1.24765,0.0010496,0.0010496,0.0010496
26,2811.96,1.9045,1.32031,1.16531,0.87392,0.77049,0.78522,0.32798,1.95531,1.30109,1.255,0.00101,0.00101,0.00101
27,2893.66,1.88364,1.32421,1.1707,0.87113,0.7377,0.79263,0.33736,1.90686,1.30474,1.216,0.0009704,0.0009704,0.0009704
28,2983.64,1.85449,1.26328,1.1561,0.83494,0.78689,0.83558,0.35677,1.81867,1.37254,1.20539,0.0009308,0.0009308,0.0009308
29,3090.02,1.76326,1.23654,1.12828,0.78589,0.83607,0.8546,0.39248,1.92425,1.30252,1.20223,0.0008912,0.0008912,0.0008912
30,3193,1.77207,1.25449,1.09121,0.81576,0.7541,0.85263,0.34469,1.99042,1.32658,1.22303,0.0008516,0.0008516,0.0008516
31,3296.37,1.72828,1.23555,1.06942,0.82617,0.77049,0.78718,0.35464,1.89888,1.24348,1.21331,0.000812,0.000812,0.000812
32,3403.78,1.68667,1.19427,1.10211,0.88819,0.7377,0.79231,0.3441,1.9394,1.25594,1.24275,0.0007724,0.0007724,0.0007724
33,3504.55,1.73609,1.23089,1.1383,0.9071,0.80042,0.85924,0.39818,1.75266,1.22615,1.19025,0.0007328,0.0007328,0.0007328
34,3606.41,1.6644,1.15976,1.10674,0.89095,0.80364,0.86986,0.3833,1.76655,1.18611,1.18957,0.0006932,0.0006932,0.0006932
35,3708.51,1.74233,1.15804,1.14633,0.90968,0.7541,0.83192,0.4081,1.76881,1.16487,1.19448,0.0006536,0.0006536,0.0006536
36,3815.98,1.6878,1.16483,1.12966,0.86104,0.85246,0.87576,0.38455,1.8035,1.19296,1.20524,0.000614,0.000614,0.000614
37,3911.92,1.65128,1.1878,1.096,0.82834,0.72131,0.78993,0.34438,1.9117,1.2408,1.20048,0.0005744,0.0005744,0.0005744
38,3996.8,1.69998,1.14689,1.11116,0.82688,0.80328,0.8313,0.408,1.8388,1.16929,1.19166,0.0005348,0.0005348,0.0005348
39,4091.79,1.60842,1.11493,1.06848,0.86085,0.81144,0.87315,0.43506,1.79006,1.11775,1.18068,0.0004952,0.0004952,0.0004952
40,4210.62,1.61013,1.05139,1.04059,0.84962,0.77049,0.84816,0.40704,1.82634,1.123,1.19602,0.0004556,0.0004556,0.0004556
41,4327.83,1.62016,1.17551,1.09818,0.75947,0.81967,0.82233,0.39425,1.81608,1.09595,1.20596,0.000416,0.000416,0.000416
42,4443.12,1.61069,1.11899,1.11679,0.78233,0.7541,0.81181,0.38029,1.89444,1.21245,1.22464,0.0003764,0.0003764,0.0003764
